,nome_do_album,nome_da_faixa,posicao_da_faixa,popularidade,duraçao_da_musica,frequencia_de_popularidade_das_musicas
0,Trap from Future,Vem No Tum Tum,1,17,216917,Acima da média
1,Trap from Future,Drip Know Me,2,3,154646,Acima da média
2,Trap from Future,Match,3,4,180716,Acima da média
3,Trap from Future,Trap & Brega,4,6,164468,Acima da média
4,Trap from Future,Marca Sem Roupa,5,6,148364,Acima da média
5,Trap from Future,Wow!,6,3,145675,Acima da média
6,Trap from Future,Não Posso Morrer Novo,7,3,150116,Acima da média
7,Trap from Future,Fuck Cópias,8,2,140880,Abaixo da média
8,Trap from Future,Passa Nada,9,3,135745,Acima da média
9,Trap from Future,Novo Rock,10,1,130971,Abaixo da média
10,Trap from Future,Como Tem Que Ser,11,3,169166,Acima da média
11,Trap from Future,Grife,12,3,140925,Acima da média
12,Trap from Future,Fogo No Incenso,13,5,260158,Acima da média
13,Trap from Future,Zombieland,14,1,190357,Abaixo da média
14,Trap from Future,Baila Comigo?,15,2,192530,Abaixo da média
15,Trap de Cria Mixtape,Trap de Cria,1,9,158634,Acima da média
16,Trap de Cria Mixtape,A Lista das Bandidas,2,2,192697,Abaixo da média
17,Trap de Cria Mixtape,A3,3,1,140732,Abaixo da média
18,Trap de Cria Mixtape,E Ai Fake,4,1,167852,Abaixo da média
19,Trap de Cria Mixtape,Video Call,5,1,192468,Abaixo da média
20,Trap de Cria Mixtape,Aliviando o Stress,6,1,144564,Abaixo da média
21,Trap de Cria Mixtape,Hino dos Irmãos,7,1,126168,Abaixo da média
22,Trap de Cria Mixtape,Bebê da Cara de Mal,8,1,174180,Abaixo da média
23,Trap de Cria Mixtape,Isso Que É Foda,9,4,135086,Acima da média
24,Trap de Cria Mixtape,Pjl,10,0,211323,Abaixo da média
25,Real Plug Mixtape,The Train,1,0,169865,Abaixo da média
26,Real Plug Mixtape,Fica Bem,2,0,130134,Abaixo da média
27,Real Plug Mixtape,Gospel,3,0,122278,Abaixo da média
28,Real Plug Mixtape,Nxanx,4,0,167355,Abaixo da média
29,Real Plug Mixtape,Tudo,5,0,161403,Abaixo da média
30,Real Plug Mixtape,A Lei,6,0,134274,Abaixo da média
31,Real Plug Mixtape,Dreams Cup,7,0,230822,Abaixo da média
32,Real Plug Mixtape,2020,8,4,154298,Acima da média
